"id","title","label","latintoponym","pleiades","welchid","golvinid","buildingtype","visibility","chronogroup","secondcentury","capacity","modcountry","romanregion","zotero","amphitheatrum","dimensionsunknown","arenamajor","arenaminor","extmajor","extminor","exteriorheight","longitude","latitude","elevation"
"fermoAmphitheater","Fermo Amphitheater","Fermo","Firmum Picenum","https://pleiades.stoa.org/places/413135","","","amphitheater","none","imperial",True,,"Italy","regio-v","","https://amphi-theatrum.de/1603.html",True,,,,,,13.718231,43.161433,290
"frosinoneAmphitheater","Frosinone Amphitheater","Frosinone","Frusino","https://pleiades.stoa.org/places/432852","","106","amphitheater","none","imperial",True,,"Italy","regio-i","","https://amphi-theatrum.de/1531.html",False,,,78,57,,13.353417,41.64507,213
"ruggeAmphitheater","Rugge Amphitheater","Rugge","Rudiae","https://pleiades.stoa.org/places/442753","","","amphitheater","good","imperial",True,,"Italy","regio-ii","","https://amphi-theatrum.de/2217.html",False,,,83,66,,18.146729,40.334316,38
"egnaziaAmphitheater","Egnazia Amphitheater","Egnazia","Egnatia","https://pleiades.stoa.org/places/442573","","","amphitheater","good","third-century",False,,"Italy","regio-ii","","https://amphi-theatrum.de/1610.html",False,37,25,,,,17.391188,40.887891,2
"canosaAmphitheater","Canosa Amphitheater","Canosa","Canusium","https://pleiades.stoa.org/places/442525","","","amphitheater","none","imperial",False,,"Italy","regio-ii","","https://amphi-theatrum.de/1607.html",False,,,138,106,,16.05603,41.221739,81
"sipontoAmphitheater","Siponto Amphitheater","Siponto","Sipous","https://pleiades.stoa.org/places/442797","","","amphitheater","none","imperial",True,,"Italy","regio-ii","","https://amphi-theatrum.de/2222.html",True,,,,,,15.888896,41.611536,18
"chietiAmphitheater","Chieti Amphitheater","Chieti","Teate Marrucinorum","https://pleiades.stoa.org/places/413333","","","amphitheater","none","first-century",True,,"Italy","regio-iv","","https://amphi-theatrum.de/2047.html",False,59,41,,,,14.16255,42.345021,343
"teanoAmphitheater","Amphitheater at Teano","Teano","Teanum Sidicinum","https://pleiades.stoa.org/places/433146","7","4","amphitheater","none","republican",True,,"Italy","regio-ii","","",True,,,,,,14.065098,41.251661,191
"henchirDuomaAmphitheater","Henchir Douama Amphitheater","Henchir Douama","Uchi Maius","https://pleiades.stoa.org/places/315242","","","amphitheater","good","imperial",True,,"Tunisia","proconsularis","","https://amphi-theatrum.de/1345.html",False,,,55,43,,9.085182,36.412511,418
"ainToungaAmphitheater","Ain Tounga Amphitheater","Ain Tounga","Thignica","https://pleiades.stoa.org/places/315207","","116","amphitheater","good","second-century",True,3000,"Tunisia","proconsularis","","https://amphi-theatrum.de/1532.html",False,39,26.5,56,46,,9.361924,36.52782,226
"aleriaAmphitheater","Aleria Amphitheater","Aleria","Alalia","https://pleiades.stoa.org/places/472048","","131","amphitheater","good","imperial",True,1248,"France","corsica-et-sardinia","","",False,29.6,24,39.6,34,,9.5102,42.100889,41
"volterraAmphitheater","Volterra Amphitheater","Volterra","Volaterrae","https://pleiades.stoa.org/places/403292","","","amphitheater","none","first-century",True,10000,"Italy","regio-vii","XW8VDUBU","https://amphi-theatrum.de/2677.html",False,,,87,68,,10.862152,43.407162,456
"vastoAmphitheater","Amphitheater at Vasto","Vasto","Histonium","https://pleiades.stoa.org/places/413171","","","amphitheater","none","imperial",True,,"Italy","regio-iv","","https://amphi-theatrum.de/2042.html",False,,,100,80,,14.708095,42.111291,150
"suasaAmphitheater","Amphitheater at Suasa","Suasa","Suasa","https://pleiades.stoa.org/places/413324","","","amphitheater","good","imperial",True,,"Italy","regio-vi","","https://amphi-theatrum.de/2833.html",False,58,36,99,75,,12.986831,43.624682,139
"pollenzoAmphitheater","Amphitheater at Pollenzo","Pollenzo","Pollentia","https://pleiades.stoa.org/places/383745","","59","amphitheater","street-plan","imperial",True,,"Italy","regio-ix","","https://amphi-theatrum.de/1391.html",False,,,120,93,,7.895993,44.684698,200
"vercelliAmphitheater","Amphitheater at Vercelli","Vercelli","Vercellae","https://pleiades.stoa.org/places/383815","","","amphitheater","partial","late-first-early-second-century",True,,"Italy","regio-xi","SN69JGM2","https://amphi-theatrum.de/2948.html",False,,,107,90,,8.426863,45.319277,126
"sanGiovanniAmphitheater","Amphitheater at San Giovanni in Carico","San Giovanni in Carico","Fabrateria Nova","https://pleiades.stoa.org/places/432825","","","amphitheater","poor","imperial",True,,"Italy","regio-i","","https://amphi-theatrum.de/2084.html",False,,,75,,,13.552957,41.518993,87
"megiddoAmphitheater","Amphitheater at Megiddo","Megiddo","Legio","https://pleiades.stoa.org/places/678266","","","amphitheater","good","imperial",True,,"Israel","judaea","DNYUHQQP","",False,,,70,50,,35.183968,32.58102,141
"suessaAruncaAmphitheater","Amphitheater at Suessa Arunca","Suessa Arunca","Suessa","https://pleiades.stoa.org/places/433132","11","","amphitheater","none","republican",True,,"Italy","regio-i","","https://amphi-theatrum.de/2833.html",True,,,,,,13.933458,41.230843,128
